id,name,state,cases,deaths,cases per population
02000,Hamburg,Hamburg,872,0,0.0473609572996433
05370,Heinsberg,Nordrhein-Westfalen,808,5,0.317707473203262
09162,München,Bayern,584,0,0.0396871780513596
08116,Esslingen,Baden-Württemberg,322,2,0.060315551484568
08111,Stuttgart,Baden-Württemberg,308,0,0.0485169257911567
03241,Region Hannover,Niedersachsen,233,0,0.0201274334326172
08226,Rhein-Neckar-Kreis,Baden-Württemberg,232,0,0.0423647569048163
05315,Köln,Nordrhein-Westfalen,227,0,0.0209088631473458
09184,München,Bayern,220,0,0.0630605582005956
08126,Hohenlohekreis,Baden-Württemberg,219,2,0.195518257298455
09178,Freising,Bayern,212,2,0.118359052234306
09187,Rosenheim,Bayern,193,0,0.0739511768965795
05334,Städteregion Aachen,Nordrhein-Westfalen,178,0,0.0320452233714095
08118,Ludwigsburg,Baden-Württemberg,176,0,0.0323538927615518
05111,Düsseldorf,Nordrhein-Westfalen,155,0,0.0250285001953838
04011,Bremen,Bremen,150,0,0.0263457404206888
08311,Freiburg im Breisgau,Baden-Württemberg,149,0,0.0647147988412142
06412,Frankfurt am Main,Hessen,148,0,0.019653252878936
08125,Heilbronn,Baden-Württemberg,139,3,0.040516748866114
11004,Berlin Charlottenburg-Wilmersdorf,Berlin,138,0,0.0403117441547971
11001,Berlin Mitte,Berlin,134,0,0.0348802099059796
08315,Breisgau-Hochschwarzwald,Baden-Württemberg,133,0,0.0506097909016534
05554,Borken,Nordrhein-Westfalen,131,0,0.0353408367415209
14713,Leipzig,Sachsen,129,0,0.0219441122585935
05515,Münster,Nordrhein-Westfalen,124,0,0.0394503673020085
07137,Mayen-Koblenz,Rheinland-Pfalz,120,1,0.0560069822037814
08119,Rems-Murr-Kreis,Baden-Württemberg,118,1,0.0276892607905988
11002,Berlin Friedrichshain-Kreuzberg,Berlin,117,0,0.0403779653646786
14524,Zwickau,Sachsen,115,0,0.036216936299133
11007,Berlin Tempelhof-Schöneberg,Berlin,115,0,0.0327035297061801
08416,Tübingen,Baden-Württemberg,114,0,0.0501471422727213
05770,Minden-Lübbecke,Nordrhein-Westfalen,111,0,0.0357246306845612
09377,Tirschenreuth,Bayern,111,1,0.153095001655081
08117,Göppingen,Baden-Württemberg,110,1,0.0427594624746845
08316,Emmendingen,Baden-Württemberg,109,4,0.0659076204930374
08235,Calw,Baden-Württemberg,108,1,0.0681831095285896
09182,Miesbach,Bayern,108,0,0.108296733048553
08436,Ravensburg,Baden-Württemberg,107,0,0.0376382855233305
05766,Lippe,Nordrhein-Westfalen,103,0,0.0295644835831006
05754,Gütersloh,Nordrhein-Westfalen,101,0,0.027740927206159
11003,Berlin Pankow,Berlin,101,0,0.0247691685161797
05566,Steinfurt,Nordrhein-Westfalen,100,0,0.0223406774587033
08127,Schwäbisch Hall,Baden-Württemberg,97,0,0.0495249181817718
11006,Berlin Steglitz-Zehlendorf,Berlin,97,0,0.0314223980148819
08415,Reutlingen,Baden-Württemberg,95,1,0.0331301351709515
08215,Karlsruhe,Baden-Württemberg,92,0,0.0207098993318806
08136,Ostalbkreis,Baden-Württemberg,90,0,0.0286622378201413
11008,Berlin Neukölln,Berlin,89,0,0.0269949740817917
14612,Dresden,Sachsen,84,0,0.0151447131429066
05570,Warendorf,Nordrhein-Westfalen,83,0,0.0298794382665606
09188,Starnberg,Bayern,83,1,0.0609881550715692
08437,Sigmaringen,Baden-Württemberg,82,2,0.0626561628448954
08216,Rastatt,Baden-Württemberg,81,0,0.035062202945225
