state,timestamp,cases
Baden-Württemberg,1582588800000,2
Baden-Württemberg,1582675200000,5
Baden-Württemberg,1582761600000,2
Baden-Württemberg,1582848000000,3
Baden-Württemberg,1582934400000,2
Baden-Württemberg,1583107200000,11
Baden-Württemberg,1583193600000,11
Baden-Württemberg,1583280000000,37
Baden-Württemberg,1583366400000,35
Baden-Württemberg,1583452800000,45
Baden-Württemberg,1583539200000,32
Baden-Württemberg,1583625600000,15
Baden-Württemberg,1583712000000,49
Baden-Württemberg,1583798400000,110
Baden-Württemberg,1583884800000,139
Baden-Württemberg,1583971200000,174
Baden-Württemberg,1584057600000,294
Baden-Württemberg,1584144000000,324
Baden-Württemberg,1584230400000,163
Baden-Württemberg,1584316800000,394
Baden-Württemberg,1584403200000,566
Baden-Württemberg,1584489600000,697
Baden-Württemberg,1584576000000,464
Baden-Württemberg,1584662400000,221
Baden-Württemberg,1584748800000,12
Bayern,1580169600000,2
Bayern,1580256000000,2
Bayern,1580428800000,3
Bayern,1580688000000,1
Bayern,1580774400000,2
Bayern,1580947200000,1
Bayern,1581033600000,1
Bayern,1581379200000,2
Bayern,1581465600000,1
Bayern,1582761600000,1
Bayern,1582848000000,3
Bayern,1582934400000,1
Bayern,1583020800000,3
Bayern,1583107200000,6
Bayern,1583193600000,6
Bayern,1583280000000,10
Bayern,1583366400000,22
Bayern,1583452800000,47
Bayern,1583539200000,16
Bayern,1583625600000,14
Bayern,1583712000000,79
Bayern,1583798400000,90
Bayern,1583884800000,101
Bayern,1583971200000,115
Bayern,1584057600000,230
Bayern,1584144000000,180
Bayern,1584230400000,113
Bayern,1584316800000,224
Bayern,1584403200000,413
Bayern,1584489600000,538
Bayern,1584576000000,503
Bayern,1584662400000,493
Bayern,1584748800000,427
Berlin,1583193600000,5
Berlin,1583280000000,3
Berlin,1583366400000,11
Berlin,1583452800000,4
Berlin,1583539200000,1
Berlin,1583625600000,11
Berlin,1583712000000,22
Berlin,1583798400000,33
Berlin,1583884800000,43
Berlin,1583971200000,47
Berlin,1584057600000,59
Berlin,1584144000000,29
Berlin,1584230400000,25
Berlin,1584316800000,60
Berlin,1584403200000,96
Berlin,1584489600000,144
Berlin,1584576000000,180
Berlin,1584662400000,159
Berlin,1584748800000,92
Brandenburg,1583020800000,1
Brandenburg,1583366400000,1
Brandenburg,1583625600000,3
Brandenburg,1583712000000,4
Brandenburg,1583798400000,11
Brandenburg,1583884800000,8
Brandenburg,1583971200000,20
Brandenburg,1584057600000,20
Brandenburg,1584144000000,13
Brandenburg,1584230400000,20
Brandenburg,1584316800000,21
Brandenburg,1584403200000,49
Brandenburg,1584489600000,36
Brandenburg,1584576000000,43
Brandenburg,1584662400000,22
Brandenburg,1584748800000,2
Bremen,1583020800000,1
Bremen,1583107200000,1
Bremen,1583193600000,2
Bremen,1583712000000,7
Bremen,1583798400000,11
Bremen,1583884800000,11
Bremen,1583971200000,7
Bremen,1584057600000,10
Bremen,1584144000000,3
Bremen,1584230400000,3
Bremen,1584316800000,1
Bremen,1584403200000,12
Bremen,1584489600000,10
Bremen,1584576000000,41
Bremen,1584662400000,22
Bremen,1584748800000,23
Hamburg,1582934400000,1
Hamburg,1583020800000,1
Hamburg,1583280000000,2
Hamburg,1583366400000,5
Hamburg,1583452800000,2
Hamburg,1583539200000,3
Hamburg,1583625600000,5
Hamburg,1583712000000,19
Hamburg,1583798400000,25
Hamburg,1583884800000,28
Hamburg,1583971200000,40
Hamburg,1584057600000,31
Hamburg,1584144000000,74
Hamburg,1584230400000,71
Hamburg,1584316800000,68
Hamburg,1584403200000,122
Hamburg,1584489600000,124
Hamburg,1584576000000,186
Hamburg,1584662400000,62
Hamburg,1584748800000,3
Hessen,1582848000000,1
Hessen,1583020800000,4
Hessen,1583107200000,4
Hessen,1583193600000,2
Hessen,1583280000000,1
Hessen,1583366400000,4
Hessen,1583452800000,1
Hessen,1583539200000,3
Hessen,1583712000000,20
Hessen,1583798400000,15
Hessen,1583884800000,34
Hessen,1583971200000,36
Hessen,1584057600000,72
Hessen,1584144000000,77
Hessen,1584230400000,24
Hessen,1584316800000,117
Hessen,1584403200000,157
Hessen,1584489600000,209
Hessen,1584576000000,192
Hessen,1584662400000,189
Hessen,1584748800000,13
Mecklenburg-Vorpommern,1583193600000,2
Mecklenburg-Vorpommern,1583280000000,2
Mecklenburg-Vorpommern,1583366400000,1
Mecklenburg-Vorpommern,1583625600000,2
Mecklenburg-Vorpommern,1583712000000,4
Mecklenburg-Vorpommern,1583884800000,8
Mecklenburg-Vorpommern,1583971200000,9
Mecklenburg-Vorpommern,1584057600000,8
Mecklenburg-Vorpommern,1584144000000,1
Mecklenburg-Vorpommern,1584230400000,1
Mecklenburg-Vorpommern,1584316800000,14
Mecklenburg-Vorpommern,1584403200000,31
Mecklenburg-Vorpommern,1584489600000,43
Mecklenburg-Vorpommern,1584576000000,34
Mecklenburg-Vorpommern,1584662400000,12
Niedersachsen,1580774400000,1
Niedersachsen,1583020800000,1
Niedersachsen,1583107200000,1
Niedersachsen,1583193600000,6
Niedersachsen,1583280000000,3
Niedersachsen,1583366400000,5
Niedersachsen,1583452800000,8
Niedersachsen,1583539200000,7
Niedersachsen,1583625600000,3
Niedersachsen,1583712000000,16
Niedersachsen,1583798400000,34
Niedersachsen,1583884800000,52
Niedersachsen,1583971200000,65
Niedersachsen,1584057600000,81
Niedersachsen,1584144000000,59
Niedersachsen,1584230400000,49
Niedersachsen,1584316800000,128
Niedersachsen,1584403200000,141
Niedersachsen,1584489600000,217
Niedersachsen,1584576000000,187
Niedersachsen,1584662400000,215
Niedersachsen,1584748800000,27
Nordrhein-Westfalen,1582675200000,3
Nordrhein-Westfalen,1582761600000,18
Nordrhein-Westfalen,1582848000000,32
Nordrhein-Westfalen,1582934400000,14
Nordrhein-Westfalen,1583020800000,22
Nordrhein-Westfalen,1583107200000,15
Nordrhein-Westfalen,1583193600000,28
